,0,1
737,3.02e-05,9e-06
738,2.074e-05,6.85e-06
739,3.654e-05,1.43e-05
740,2.86e-05,9.36e-06
741,2.81e-05,1.01e-05
742,3.15e-05,7.2e-06
743,4.756e-05,2.146e-05
744,3.874e-05,1.35e-05
745,1.913e-05,8.4e-06
746,8.3e-06,3.8e-06
747,1.675e-05,8.5e-06
748,2.25e-05,7.7e-06
749,1.98e-05,6.6e-06
750,5.72e-05,1.526e-05
751,2.116e-05,8.1e-06
752,1.246e-05,4.7e-06
753,1.144e-05,5.07e-06
754,2.205e-05,7.57e-06
755,2.176e-05,9.3e-06
756,1.794e-05,5.96e-06
757,8.64e-06,3.8e-06
758,1.45e-05,5.5e-06
759,2.205e-05,7.15e-06
760,1.365e-05,6.2e-06
761,7.8e-05,2.146e-05
762,2.27e-05,1.22e-05
763,3.505e-05,1.067e-05
764,1.407e-05,5.5e-06
765,1.59e-05,8.1e-06
766,3.31e-05,1.35e-05
767,5.04e-05,1.16e-05
768,2.086e-05,9.6e-06
769,7.33e-06,4.4e-06
770,1.985e-05,7.2e-06
771,2.36e-05,7.45e-06
772,4.244e-05,1.32e-05
773,4.715e-05,2.027e-05
774,4.89e-05,1.49e-05
775,1.65e-05,7.75e-06
776,2.193e-05,6e-06
777,1.24e-05,5.2e-06
778,1.82e-05,7.7e-06
779,4.315e-05,1.61e-05
780,1.03e-05,4.1e-06
781,1.335e-05,6.8e-06
782,3.487e-05,9.66e-06
783,1.71e-05,6.2e-06
784,2.253e-05,6.2e-06
785,3.57e-05,1.25e-05
786,6.42e-05,1.5e-05
787,1.866e-05,5.84e-06
788,1.8e-05,7.15e-06
789,3.62e-05,1.08e-05
790,1.57e-05,5.66e-06
791,7.45e-06,4.4e-06
792,2.97e-05,7.1e-06
793,3.36e-05,1.01e-05
794,5.1e-06,3.2e-06
795,5.8e-06,3.46e-06
796,8.523e-05,1.866e-05
797,2.366e-05,8.94e-06
798,1.07e-05,7.33e-06
799,3.43e-05,1.603e-05
